번호,항목,값,라벨
A1,노인 일자리 및 사회활동 지원사업 활동 내용,33,공공시설 봉사 : 도서관 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,34,공공시설 봉사 : 공공시설 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,35,공공시설 봉사 : 문화재시설 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,36,공공시설 봉사 : 공공의료 및 복지시설 봉사
A1,노인 일자리 및 사회활동 지원사업 활동 내용,41,경륜전수활동 : 건강체조 취미생활지도
A1,노인 일자리 및 사회활동 지원사업 활동 내용,42,경륜전수활동 : 문화공연 활동
A1,노인 일자리 및 사회활동 지원사업 활동 내용,43,경륜전수활동 : 체험활동 지원
A1,노인 일자리 및 사회활동 지원사업 활동 내용,44,경륜전수활동 : 경륜전수 활동
A1,노인 일자리 및 사회활동 지원사업 활동 내용,51,인력파견형 : 인력파견형
A1,노인 일자리 및 사회활동 지원사업 활동 내용,61,공동작업형 : 공동작업장 운영사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,62,공동작업형 : 지역영농사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,63,공동작업형 : 기타 공동작업형 사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,71,제조판매형 : 식품제조 및 판매사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,72,제조판매형 : 공산품제작 및 판매사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,73,제조판매형 : 매장운영사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,74,제조판매형 : 아파트택배사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,75,제조판매형 : 지하철택배사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,76,제조판매형 : 세차 및 세탁사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,77,제조판매형 : 기타 제조 및 판매사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,81,전문서비스형 : 모니터링
A1,노인 일자리 및 사회활동 지원사업 활동 내용,82,전문서비스형 : 주정차질서 계도
A1,노인 일자리 및 사회활동 지원사업 활동 내용,83,전문서비스형 : 초등학교 급식도우미
A1,노인 일자리 및 사회활동 지원사업 활동 내용,84,전문서비스형 : CCTV 상시관제
A1,노인 일자리 및 사회활동 지원사업 활동 내용,85,전문서비스형 : 스쿨존 교통지원
A1,노인 일자리 및 사회활동 지원사업 활동 내용,86,전문서비스형 : 폐현수막재활용
A1,노인 일자리 및 사회활동 지원사업 활동 내용,87,전문서비스형 : 자전거 보관 및 수리지원
A1,노인 일자리 및 사회활동 지원사업 활동 내용,88,전문서비스형 : 지역사회 환경개선
A1,노인 일자리 및 사회활동 지원사업 활동 내용,89,전문서비스형 : 기타 전문서비스형사업
A1,노인 일자리 및 사회활동 지원사업 활동 내용,99,모름/ 무응답
A2,노인 일자리 및 사회활동 지원사업 최초 참여 여부,1,예
A2,노인 일자리 및 사회활동 지원사업 최초 참여 여부,2,아니오
A2,노인 일자리 및 사회활동 지원사업 최초 참여 여부,9,모름/ 무응답
A2_1,노인 일자리 및 사회활동 지원사업에 처음 참여한 년도,9999,모름/ 무응답
A2_2,사업단 및 사업 유형 변경 경험,1,예
A2_2,사업단 및 사업 유형 변경 경험,2,아니오
A2_2,사업단 및 사업 유형 변경 경험,9,모름/ 무응답
A2_3,사업단 및 사업 유형 변경 이유,1,활동하던 사업단 및 사업 유형이 사라짐(중단됨)
A2_3,사업단 및 사업 유형 변경 이유,2,활동 내용 및 작업 수준이 맞지 않았음
A2_3,사업단 및 사업 유형 변경 이유,3,활동 시간 및 작업량이 맞지 않았음
A2_3,사업단 및 사업 유형 변경 이유,4,활동비 및 급여 수준이 맞지 않았음
A2_3,사업단 및 사업 유형 변경 이유,5,노인 일자리 및 사회활동 지원사업 담당 직원과의 갈등
A2_3,사업단 및 사업 유형 변경 이유,6,다른 참여자와의 갈등
A2_3,사업단 및 사업 유형 변경 이유,7,기타
A2_3,사업단 및 사업 유형 변경 이유,9,모름/ 무응답
A2_4,전년도 동일 사업단 및 근무처 활동 여부,1,예
A2_4,전년도 동일 사업단 및 근무처 활동 여부,2,아니오
A2_4,전년도 동일 사업단 및 근무처 활동 여부,9,모름/ 무응답
A3,노인 일자리 및 사회활동 지원사업 인지 경로,1,"이용하고 있던 기관(경로당, 복지관 등)담당자를 통해"
A3,노인 일자리 및 사회활동 지원사업 인지 경로,2,"가족, 이웃, 친척, 친구 등 지인을 통해"
A3,노인 일자리 및 사회활동 지원사업 인지 경로,3,지역 내 통·반장 또는 이장을 통해
A3,노인 일자리 및 사회활동 지원사업 인지 경로,4,시군구(읍면동) 담당 공무원을 통해
A3,노인 일자리 및 사회활동 지원사업 인지 경로,5,시군구(읍면동) 및 이용 기관의 현장 게시판을 보고
A3,노인 일자리 및 사회활동 지원사업 인지 경로,6,"TV, 라디오, 신문을 통해"
A3,노인 일자리 및 사회활동 지원사업 인지 경로,7,시군구·이용기관의 인터넷 게시판 및 인터넷 구인구직 사이트를
A3,노인 일자리 및 사회활동 지원사업 인지 경로,8,"길거리 현수막, 전단지 등 각종 홍보물"
A3,노인 일자리 및 사회활동 지원사업 인지 경로,9,기타
A3,노인 일자리 및 사회활동 지원사업 인지 경로,99,모름/ 무응답
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),1,생계비 마련
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(3순위),2,용돈 마련
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(4순위),3,사회참여 및 관계 형성의 수단
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(5순위),4,건강 유지의 수단
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(6순위),5,자아실현 및 자기발전 수단
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(7순위),6,여가시간 활용 수단
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(8순위),7,일을 통한 즐거움
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(9순위),8,기타
A4_1순위,노인 일자리 및 사회활동 지원사업 참여 동기(10순위),99,모름/ 무응답
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),1,생계비 마련
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),2,용돈 마련
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),3,사회참여 및 관계 형성의 수단
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),4,건강 유지의 수단
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),5,자아실현 및 자기발전 수단
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),6,여가시간 활용 수단
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),7,일을 통한 즐거움
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),8,기타
A4_2순위,노인 일자리 및 사회활동 지원사업 참여 동기(2순위),99,모름/ 무응답
A5_1,노인 일자리 및 사회활동 지원사업_1) 주당 활동(근무) 시간,99,모름/ 무응답
A5_2,노인 일자리 및 사회활동 지원사업_2) 주당 활동(근무) 일수 유형,1,정기적
A5_2,노인 일자리 및 사회활동 지원사업_2) 주당 활동(근무) 일수 유형,2,비정기적
A5_2,노인 일자리 및 사회활동 지원사업_2) 주당 활동(근무) 일수 유형,9,모름/ 무응답
A5_2_일,노인 일자리 및 사회활동 지원사업_2) 주당 활동(근무) 일수,99,모름/ 무응답
A5_3_a1,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,1,평일 주간
A5_3_a1,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,2,평일 야간
A5_3_a1,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,3,주말
A5_3_a1,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,4,교대제 현황
A5_3_a1,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,9,모름/ 무응답
A5_3_a2,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,1,평일 주간
A5_3_a2,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,2,평일 야간
A5_3_a2,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,3,주말
A5_3_a2,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,4,교대제 현황
A5_3_a2,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,9,모름/ 무응답
A5_3_a3,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,1,평일 주간
A5_3_a3,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,2,평일 야간
A5_3_a3,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,3,주말
A5_3_a3,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,4,교대제 현황
A5_3_a3,노인 일자리 및 사회활동 지원사업_3) 활동(근무) 일,9,모름/ 무응답
A5_4,노인 일자리 및 사회활동 지원사업_4) 교대제 현황,1,교대제 없음
A5_4,노인 일자리 및 사회활동 지원사업_4) 교대제 현황,2,2교대
A5_4,노인 일자리 및 사회활동 지원사업_4) 교대제 현황,3,3교대 이상
A5_4,노인 일자리 및 사회활동 지원사업_4) 교대제 현황,9,모름/ 무응답
A5_5,노인 일자리 및 사회활동 지원사업_5) 현 사업단 및 일자리 참여 지속 기간,999,모름/ 무응답
A6,노인 일자리 및 사회활동 지원사업 참여중단기간 여부,1,있다
A6,노인 일자리 및 사회활동 지원사업 참여중단기간 여부,2,2015년에 참여하여 중단 없이 계속 해오고 있다
A6,노인 일자리 및 사회활동 지원사업 참여중단기간 여부,3,2015년에 참여하지 않았다
A6,노인 일자리 및 사회활동 지원사업 참여중단기간 여부,9,모름/ 무응답
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a1,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a2,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a3,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a4,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a5,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a6,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,1,수요처에서 급여를 지원하면서 사업 계속 참여
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,2,"정부, 지자체 등에서 실시하는 타 일자리에 참여"
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,3,단기적인 소일거리에 참여
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,4,기존에 하던 일(농사일 등) 계속 참여
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,5,"가족, 친인척 등의 일 도우며 소득 보충"
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,6,노인 일자리 활동을 유급자원봉사로 계속 참여
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,7,기타
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,8,소득확보를 위한 활동 하지 않음
A6_1_a7,노인 일자리 및 사회활동 지원사업 비참여기간 소득확보 노력,9,모름/ 무응답
A7,노인 일자리 및 사회활동 지원사업 관련교육 이수여부,1,있음
A7,노인 일자리 및 사회활동 지원사업 관련교육 이수여부,2,없음
A7,노인 일자리 및 사회활동 지원사업 관련교육 이수여부,9,모름/ 무응답
A7_시간,노인 일자리 및 사회활동 지원사업 관련교육 이수시간,99,모름/ 무응답
A7_1_a1,노인 일자리 및 사회활동 지원사업 관련 교육 형태,1,현재 참여중인 사업단 및 일자리 참여자만 포함된 교육
A7_1_a1,노인 일자리 및 사회활동 지원사업 관련 교육 형태,2,참여중인 사업단 참여자 외 같은 기관의 다른 사업단 및 참여자
A7_1_a1,노인 일자리 및 사회활동 지원사업 관련 교육 형태,3,지역의 다른 수행기관의 참여자가 모두 포함된 교육
A7_1_a1,노인 일자리 및 사회활동 지원사업 관련 교육 형태,4,개별적으로 온라인 교육 수강
A7_1_a1,노인 일자리 및 사회활동 지원사업 관련 교육 형태,9,모름/ 무응답
A7_1_a2,노인 일자리 및 사회활동 지원사업 관련 교육 형태,1,현재 참여중인 사업단 및 일자리 참여자만 포함된 교육
A7_1_a2,노인 일자리 및 사회활동 지원사업 관련 교육 형태,2,참여중인 사업단 참여자 외 같은 기관의 다른 사업단 및 참여자
A7_1_a2,노인 일자리 및 사회활동 지원사업 관련 교육 형태,3,지역의 다른 수행기관의 참여자가 모두 포함된 교육
A7_1_a2,노인 일자리 및 사회활동 지원사업 관련 교육 형태,4,개별적으로 온라인 교육 수강
A7_1_a2,노인 일자리 및 사회활동 지원사업 관련 교육 형태,9,모름/ 무응답
A7_1_a3,노인 일자리 및 사회활동 지원사업 관련 교육 형태,1,현재 참여중인 사업단 및 일자리 참여자만 포함된 교육
A7_1_a3,노인 일자리 및 사회활동 지원사업 관련 교육 형태,2,참여중인 사업단 참여자 외 같은 기관의 다른 사업단 및 참여자
A7_1_a3,노인 일자리 및 사회활동 지원사업 관련 교육 형태,3,지역의 다른 수행기관의 참여자가 모두 포함된 교육
A7_1_a3,노인 일자리 및 사회활동 지원사업 관련 교육 형태,4,개별적으로 온라인 교육 수강
A7_1_a3,노인 일자리 및 사회활동 지원사업 관련 교육 형태,9,모름/ 무응답
A7_1_a4,노인 일자리 및 사회활동 지원사업 관련 교육 형태,1,현재 참여중인 사업단 및 일자리 참여자만 포함된 교육
A7_1_a4,노인 일자리 및 사회활동 지원사업 관련 교육 형태,2,참여중인 사업단 참여자 외 같은 기관의 다른 사업단 및 참여자
A7_1_a4,노인 일자리 및 사회활동 지원사업 관련 교육 형태,3,지역의 다른 수행기관의 참여자가 모두 포함된 교육
A7_1_a4,노인 일자리 및 사회활동 지원사업 관련 교육 형태,4,개별적으로 온라인 교육 수강
A7_1_a4,노인 일자리 및 사회활동 지원사업 관련 교육 형태,9,모름/ 무응답
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,1,노인 일자리 및 사회활동 지원사업 기본방향 및 향후 전망
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,2,노인 일자리 및 사회활동 지원사업에 임하는 자세
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,3,사업 운영규칙(직장 운영 규칙) 안내
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,4,직무수행을 위한 구체적 지식.기술교육
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,5,신체 건강 관리 교육
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,6,정신 건강 관리 교육
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,7,안전교육
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,8,기타
A7_2_a1,노인 일자리 및 사회활동 지원사업 관련 교육 내용,9,모름/ 무응답
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,1,노인 일자리 및 사회활동 지원사업 기본방향 및 향후 전망
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,2,노인 일자리 및 사회활동 지원사업에 임하는 자세
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,3,사업 운영규칙(직장 운영 규칙) 안내
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,4,직무수행을 위한 구체적 지식.기술교육
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,5,신체 건강 관리 교육
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,6,정신 건강 관리 교육
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,7,안전교육
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,8,기타
A7_2_a2,노인 일자리 및 사회활동 지원사업 관련 교육 내용,9,모름/ 무응답
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,1,노인 일자리 및 사회활동 지원사업 기본방향 및 향후 전망
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,2,노인 일자리 및 사회활동 지원사업에 임하는 자세
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,3,사업 운영규칙(직장 운영 규칙) 안내
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,4,직무수행을 위한 구체적 지식.기술교육
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,5,신체 건강 관리 교육
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,6,정신 건강 관리 교육
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,7,안전교육
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,8,기타
A7_2_a3,노인 일자리 및 사회활동 지원사업 관련 교육 내용,9,모름/ 무응답
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,1,노인 일자리 및 사회활동 지원사업 기본방향 및 향후 전망
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,2,노인 일자리 및 사회활동 지원사업에 임하는 자세
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,3,사업 운영규칙(직장 운영 규칙) 안내
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,4,직무수행을 위한 구체적 지식.기술교육
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,5,신체 건강 관리 교육
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,6,정신 건강 관리 교육
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,7,안전교육
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,8,기타
A7_2_a4,노인 일자리 및 사회활동 지원사업 관련 교육 내용,9,모름/ 무응답
A7_2_a5,노인 일자리 및 사회활동 지원사업 관련 교육 내용,1,노인 일자리 및 사회활동 지원사업 기본방향 및 향후 전망
A7_2_a5,노인 일자리 및 사회활동 지원사업 관련 교육 내용,2,노인 일자리 및 사회활동 지원사업에 임하는 자세
A7_2_a5,노인 일자리 및 사회활동 지원사업 관련 교육 내용,3,사업 운영규칙(직장 운영 규칙) 안내
A7_2_a5,노인 일자리 및 사회활동 지원사업 관련 교육 내용,4,직무수행을 위한 구체적 지식.기술교육
A7_2_a5,노인 일자리 및 사회활동 지원사업 관련 교육 내용,5,신체 건강 관리 교육
